user_id,Recency,Frequency,Monetary,R,F,M,RFM_Score
1515915625493549689,144,1,16.19,1,1,1,3
1515915625494770987,150,1,134.13,1,1,3,5
1515915625495521173,149,1,10.21,1,1,1,3
1515915625495744028,147,2,98.82,1,2,3,6
1515915625496075071,91,1,205.25,2,1,3,6
1515915625496832955,49,2,515.74,3,2,4,9
1515915625497051174,138,2,609.27,1,2,4,7
1515915625497203757,157,2,51.14,1,2,2,5
1515915625497266977,154,2,151.54000000000002,1,2,3,6
1515915625497290091,156,2,33.78,1,2,2,5
1515915625497826743,158,1,29.52,1,1,1,3
1515915625498093228,133,6,599.52,1,4,4,9
1515915625498133966,153,1,424.48,1,1,4,6
1515915625498376282,124,1,86.51,1,1,2,4
1515915625498875482,10,1,125.86,4,1,3,8
1515915625499086948,146,1,325.25,1,1,4,6
1515915625499087051,150,1,325.25,1,1,4,6
1515915625499632814,146,2,118.27000000000001,1,2,3,6
1515915625499716754,157,1,151.75,1,1,3,5
1515915625500018456,148,1,478.75,1,1,4,6
1515915625500191972,150,1,416.56,1,1,4,6
1515915625501202238,156,1,11.65,1,1,1,3
1515915625503751892,153,4,143.48,1,3,3,7
1515915625503814049,137,1,32.7,1,1,2,4
1515915625503895207,140,2,172.04000000000002,1,2,3,6
1515915625504063355,144,6,1196.22,1,4,4,9
1515915625504663389,137,1,58.11,1,1,2,4
1515915625504784533,14,5,369.05,4,4,4,12
1515915625504813192,122,1,50.6,1,1,2,4
1515915625505008297,153,3,466.29,1,3,4,8
1515915625505559373,154,1,90.63,1,1,2,4
1515915625505654593,146,2,18.81,1,2,1,4
1515915625506619696,29,2,28.34,4,2,1,7
1515915625506722711,153,5,384.90000000000003,1,4,4,9
1515915625506781679,151,1,26.35,1,1,1,3
1515915625506864547,144,1,314.68,1,1,4,6
1515915625506903608,144,12,572.4,1,4,4,9
1515915625507114184,138,2,498.04,1,2,4,7
1515915625507426385,157,1,284.46,1,1,3,5
1515915625507556338,145,2,12.86,1,2,1,4
1515915625507596879,42,3,3900.12,3,3,4,10
1515915625507618984,153,2,58.44,1,2,2,5
1515915625507754425,139,4,415.32,1,3,4,8
1515915625508051478,155,1,14.86,1,1,1,3
1515915625508240652,150,1,51.27,1,1,2,4
1515915625508374573,146,1,21.75,1,1,1,3
1515915625508403543,152,1,10.43,1,1,1,3
1515915625508703225,156,2,65.08,1,2,2,5
1515915625508770501,125,1,196.67,1,1,3,5
1515915625508849099,146,1,15.08,1,1,1,3
1515915625509272045,144,1,127.08,1,1,3,5
1515915625509375068,128,1,16.19,1,1,1,3
1515915625509470353,145,1,215.4,1,1,3,5
1515915625509504933,145,6,125.69999999999999,1,4,3,8
1515915625509561819,130,2,64.92,1,2,2,5
1515915625509562082,152,1,39.51,1,1,2,4
1515915625509677596,71,1,11.43,3,1,1,5
1515915625509729436,149,1,60.06,1,1,2,4
1515915625509808717,117,3,87.66,1,3,2,6
1515915625509890136,32,2,93.84,4,2,3,9
1515915625510154735,130,3,53.91,1,3,2,6
1515915625510314369,147,1,21.21,1,1,1,3
1515915625510452947,150,2,53.34,1,2,2,5
1515915625510668770,34,10,2546.1,4,4,4,12
1515915625510934233,36,1,349.46,3,1,4,8
1515915625511032339,146,5,78.8,1,4,2,7
1515915625511038054,148,1,92.02,1,1,3,5
1515915625511039745,153,1,75.67,1,1,2,4
1515915625511110840,144,1,552.78,1,1,4,6
1515915625511131358,141,2,110.16,1,2,3,6
1515915625511226919,154,2,23.8,1,2,1,4
1515915625511258041,153,3,323.37,1,3,4,8
1515915625511668201,138,1,449.51,1,1,4,6
1515915625512105360,114,1,34.44,1,1,2,4
1515915625512135812,120,1,10.48,1,1,1,3
1515915625512278322,58,1,124.13,3,1,3,7
1515915625512664069,112,2,24.92,2,2,1,5
1515915625513024514,2,4,436.54,4,3,4,11
1515915625513111960,156,1,12.43,1,1,1,3
1515915625513124938,152,1,17.89,1,1,1,3
1515915625513126445,140,4,924.96,1,3,4,8
1515915625513128295,140,2,462.48,1,2,4,7
1515915625513238969,149,1,140.63,1,1,3,5
1515915625513241084,148,2,86.22,1,2,2,5
1515915625513265653,150,1,23.49,1,1,1,3
1515915625513339762,54,2,594.32,3,2,4,9
1515915625513373329,137,3,225.87,1,3,3,7
1515915625513392808,151,1,12.92,1,1,1,3
1515915625513553892,146,4,52.68,1,3,2,6
1515915625513574486,158,5,616.75,1,4,4,9
1515915625513574581,158,1,123.35,1,1,3,5
1515915625513600866,126,8,667.64,1,4,4,9
1515915625513824086,156,2,43.1,1,2,2,5
1515915625514094094,145,1,36.35,1,1,2,4
1515915625514097612,149,1,204.29,1,1,3,5
1515915625514111411,147,1,11.62,1,1,1,3
1515915625514129744,151,1,26.46,1,1,1,3
1515915625514159533,111,1,29.68,2,1,1,4
1515915625514458321,153,1,137.63,1,1,3,5
1515915625514502228,145,2,37.14,1,2,2,5
1515915625514744695,146,1,43.11,1,1,2,4
1515915625514766440,105,4,1123.62,2,3,4,9
1515915625514870210,145,2,101.2,1,2,3,6
1515915625514902385,158,2,387.26,1,2,4,7
1515915625514944899,127,2,603.5799999999999,1,2,4,7
1515915625514969596,153,1,11.13,1,1,1,3
1515915625515080867,155,1,72.38,1,1,2,4
1515915625515148783,155,2,55.24,1,2,2,5
1515915625515223814,135,1,96.37,1,1,3,5
1515915625515318698,155,2,458.76,1,2,4,7
1515915625515426823,134,3,45.71,1,3,2,6
1515915625515455004,126,1,204.29,1,1,3,5
1515915625515476270,153,1,38.25,1,1,2,4
1515915625515574097,153,1,381.62,1,1,4,6
1515915625515626372,53,4,115.76,3,3,3,9
1515915625515698186,139,4,128.68,1,3,3,7
1515915625515708617,157,1,16.19,1,1,1,3
1515915625515983292,151,1,203.02,1,1,3,5
1515915625515985972,82,3,123.55000000000001,2,3,3,8
1515915625516160801,157,1,156.27,1,1,3,5
1515915625516166909,132,1,21.9,1,1,1,3
1515915625516258447,116,1,29.22,1,1,1,3
1515915625516312135,146,1,204.29,1,1,3,5
1515915625516323491,51,1,418.48,3,1,4,8
1515915625516324855,148,1,204.29,1,1,3,5
1515915625516333925,145,1,204.29,1,1,3,5
1515915625516344878,154,1,45.24,1,1,2,4
1515915625516359835,104,5,1021.4499999999999,2,4,4,10
1515915625516373860,41,2,23.26,3,2,1,6
1515915625516401102,148,3,166.35,1,3,3,7
1515915625516401615,133,2,67.3,1,2,2,5
1515915625516422613,140,1,71.38,1,1,2,4
1515915625516424959,153,1,204.29,1,1,3,5
1515915625516434206,140,1,647.29,1,1,4,6
1515915625516447381,150,1,204.29,1,1,3,5
1515915625516465850,123,1,26.19,1,1,1,3
1515915625516476746,129,1,204.29,1,1,3,5
1515915625516477461,154,2,33.78,1,2,2,5
1515915625516490771,153,2,218.73,1,2,3,6
1515915625516508051,146,1,204.29,1,1,3,5
1515915625516609226,116,2,138.29000000000002,1,2,3,6
1515915625516673386,139,1,10.48,1,1,1,3
1515915625516711813,143,2,515.74,1,2,4,7
1515915625516722437,140,3,612.87,1,3,4,8
1515915625516724249,138,1,479.51,1,1,4,6
1515915625516729047,124,1,17.62,1,1,1,3
1515915625516731578,10,2,314.28,4,2,4,10
1515915625516747708,130,6,682.93,1,4,4,9
1515915625516747922,135,2,158.62,1,2,3,6
1515915625516769072,146,3,221.43,1,3,3,7
1515915625516770938,152,2,136.74,1,2,3,6
1515915625516831655,74,2,30.16,2,2,1,5
1515915625516842178,96,1,16.98,2,1,1,4
1515915625516853587,145,1,21.75,1,1,1,3
1515915625516890932,69,1,65.08,3,1,2,6
1515915625516952270,77,4,56.50000000000001,2,3,2,7
1515915625516964063,127,1,61.43,1,1,2,4
1515915625517047900,35,2,457.58,4,2,4,10
1515915625517182992,127,1,29.22,1,1,1,3
1515915625517202747,131,1,15.32,1,1,1,3
1515915625517204454,59,2,81.26,3,2,2,7
1515915625517218106,153,1,47.49,1,1,2,4
1515915625517318899,108,1,130.0,2,1,3,6
1515915625517342761,123,1,45.24,1,1,2,4
1515915625517386797,117,1,179.94,1,1,3,5
1515915625517470003,149,1,68.57,1,1,2,4
1515915625517579630,100,2,735.9000000000001,2,2,4,8
1515915625517581806,158,1,26.46,1,1,1,3
1515915625517679329,36,1,61.16,3,1,2,6
1515915625517699110,118,1,46.67,1,1,2,4
1515915625517748115,140,3,198.29999999999998,1,3,3,7
1515915625517759569,154,1,75.67,1,1,2,4
1515915625517764150,133,1,167.62,1,1,3,5
1515915625517770257,157,1,50.11,1,1,2,4
1515915625517780037,107,3,26.369999999999997,2,3,1,6
1515915625517825350,148,1,163.52,1,1,3,5
1515915625517871720,110,4,119.56,2,3,3,8
1515915625517883203,132,3,165.48,1,3,3,7
1515915625517889944,3,1,58.25,4,1,2,7
1515915625517905050,157,3,892.23,1,3,4,8
1515915625517946481,150,1,12.62,1,1,1,3
1515915625518037933,125,1,314.97,1,1,4,6
1515915625518085006,131,4,314.23,1,3,4,8
1515915625518086046,142,5,543.23,1,4,4,9
1515915625518112609,124,2,268.26,1,2,3,6
1515915625518130982,158,2,178.44,1,2,3,6
1515915625518151432,135,1,14.29,1,1,1,3
1515915625518153762,144,2,472.0,1,2,4,7
1515915625518171389,46,1,33.97,3,1,2,6
1515915625518212316,122,1,12.46,1,1,1,3
1515915625518254444,145,2,110.48,1,2,3,6
1515915625518278964,143,5,1997.4,1,4,4,9
1515915625518286459,128,1,26.19,1,1,1,3
1515915625518289462,157,1,41.32,1,1,2,4
1515915625518296794,140,4,817.16,1,3,4,8
1515915625518370294,106,1,127.08,2,1,3,6
1515915625518390079,157,1,57.62,1,1,2,4
1515915625518413832,125,2,127.39,1,2,3,6
1515915625518435582,114,3,94.28999999999999,1,3,3,7
1515915625518472854,138,1,23.17,1,1,1,3
1515915625518482827,151,1,20.48,1,1,1,3
1515915625518560406,137,2,226.76,1,2,3,6
1515915625518570355,65,1,60.83,3,1,2,6
1515915625518585643,152,1,29.57,1,1,1,3
1515915625518591968,139,2,64.5,1,2,2,5
1515915625518696647,154,1,68.06,1,1,2,4
1515915625518710964,115,1,441.49,1,1,4,6
1515915625518820232,125,1,122.86,1,1,3,5
1515915625518836854,112,1,122.86,2,1,3,6
1515915625518837072,157,2,160.12,1,2,3,6
1515915625518887119,87,2,207.66,2,2,3,7
1515915625518894671,131,3,289.11,1,3,4,8
1515915625518900864,149,1,204.29,1,1,3,5
1515915625518901157,149,1,32.38,1,1,2,4
1515915625518901432,157,2,408.58,1,2,4,7
1515915625518946788,45,1,3267.06,3,1,4,8
1515915625518988628,144,3,773.61,1,3,4,8
1515915625519036980,145,1,50.6,1,1,2,4
1515915625519045356,158,3,220.82,1,3,3,7
1515915625519047102,134,2,151.54000000000002,1,2,3,6
1515915625519064114,157,2,191.36,1,2,3,6
1515915625519079553,134,2,160.7,1,2,3,6
1515915625519082162,157,3,1252.83,1,3,4,8
1515915625519107912,152,1,242.48,1,1,3,5
1515915625519140183,157,1,16.11,1,1,1,3
1515915625519218141,110,1,105.14,2,1,3,6
1515915625519245618,90,3,117.87,2,3,3,8
1515915625519258287,158,1,11.27,1,1,1,3
1515915625519259921,136,1,50.56,1,1,2,4
1515915625519289483,91,1,44.13,2,1,2,5
1515915625519301557,152,1,34.44,1,1,2,4
1515915625519344914,154,2,183.94,1,2,3,6
1515915625519356010,158,2,206.81,1,2,3,6
1515915625519390468,158,1,217.57,1,1,3,5
1515915625519397646,158,3,370.04999999999995,1,3,4,8
1515915625519399850,158,1,30.48,1,1,1,3
1515915625519401159,158,1,11.86,1,1,1,3
1515915625519403099,158,1,13.89,1,1,1,3
1515915625519406565,158,1,36.03,1,1,2,4
1515915625519406764,158,2,38.98,1,2,2,5
1515915625519407618,158,1,204.79,1,1,3,5
1515915625519417750,151,3,159.42000000000002,1,3,3,7
1515915625519426806,158,1,20.79,1,1,1,3
1515915625519427738,158,1,20.79,1,1,1,3
1515915625519432765,158,1,39.67,1,1,2,4
1515915625519436601,157,2,64.5,1,2,2,5
1515915625519439308,158,1,20.48,1,1,1,3
1515915625519440686,134,2,60.59,1,2,2,5
1515915625519454753,158,2,38.86,1,2,2,5
1515915625519463641,158,4,284.08,1,3,3,7
1515915625519470141,158,1,23.48,1,1,1,3
1515915625519470631,158,1,27.81,1,1,1,3
1515915625519473821,158,2,34.6,1,2,2,5
1515915625519475949,158,1,314.68,1,1,4,6
1515915625519477241,158,2,36.82,1,2,2,5
1515915625519477888,158,1,59.54,1,1,2,4
1515915625519487094,158,1,479.52,1,1,4,6
1515915625519489782,158,1,177.59,1,1,3,5
1515915625519491915,158,1,479.52,1,1,4,6
1515915625519492150,158,1,18.89,1,1,1,3
1515915625519494549,158,2,19.88,1,2,1,4
1515915625519495049,158,1,122.86,1,1,3,5
1515915625519495480,149,5,5489.08,1,4,4,9
1515915625519498076,158,1,58.25,1,1,2,4
1515915625519498155,152,4,69.2,1,3,2,6
1515915625519502747,158,1,86.37,1,1,2,4
1515915625519506935,158,2,25.4,1,2,1,4
1515915625519511621,158,1,36.59,1,1,2,4
1515915625519516622,158,1,23.81,1,1,1,3
1515915625519522275,158,1,15.24,1,1,1,3
1515915625519526765,158,2,245.72,1,2,3,6
1515915625519527229,158,3,50.489999999999995,1,3,2,6
1515915625519531830,158,1,32.92,1,1,2,4
1515915625519539652,158,1,15.16,1,1,1,3
1515915625519543855,144,1,10.13,1,1,1,3
1515915625519547708,158,1,26.46,1,1,1,3
1515915625519566682,157,1,32.7,1,1,2,4
1515915625519570694,156,1,140.63,1,1,3,5
1515915625519575396,155,2,31.42,1,2,1,4
1515915625519577089,145,1,2.86,1,1,1,3
1515915625519577424,157,1,22.68,1,1,1,3
1515915625519581197,157,1,204.79,1,1,3,5
1515915625519584585,157,1,261.4,1,1,3,5
1515915625519586523,157,1,118.57,1,1,3,5
1515915625519587464,157,1,26.19,1,1,1,3
1515915625519590394,157,1,9.35,1,1,1,3
1515915625519591681,157,3,455.25,1,3,4,8
1515915625519597429,157,1,30.14,1,1,1,3
1515915625519597534,157,1,75.67,1,1,2,4
1515915625519601763,157,2,54.510000000000005,1,2,2,5
1515915625519605201,157,1,55.16,1,1,2,4
1515915625519607534,157,1,2.86,1,1,1,3
1515915625519609613,157,1,18.1,1,1,1,3
1515915625519610130,157,1,33.9,1,1,2,4
1515915625519615558,157,1,55.87,1,1,2,4
1515915625519620661,157,2,52.34,1,2,2,5
1515915625519621085,157,2,503.84,1,2,4,7
1515915625519622769,157,1,17.25,1,1,1,3
1515915625519623456,157,1,110.03,1,1,3,5
1515915625519630660,157,1,10.14,1,1,1,3
1515915625519631285,157,2,83.84,1,2,2,5
1515915625519631988,157,1,24.76,1,1,1,3
1515915625519637881,157,3,335.52,1,3,4,8
1515915625519638486,157,1,64.48,1,1,2,4
